id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,electorate,electoraterating
4746,3000,MELBOURNE,VIC,144.956776,-37.817403,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.8152065,144.963937,20604112209,20604112209,206041122,Melbourne,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,15.24475098,V1,PHN201,North Western Melbourne,Melbourne,Melbourne,Inner Metropolitan
4747,3001,MELBOURNE,VIC,144.956776,-37.817403,CITY MAIL PROCESSING CENTRE,Post Office Boxes,Updated 25-Mar-2020 SA3,20605,Port Phillip,206,Melbourne - Inner,R1,-37.8136276,144.9630576,20604112212,20604112212,206041122,Melbourne,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,15.24475098,V1,PHN203,,Moonee Valley,Maribyrnong,
4748,3002,EAST MELBOURNE,VIC,144.982207,-37.818517,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.8161444,144.9804594,20604111914,20604111914,206041119,East Melbourne,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,14.31502247,V1,PHN201,North Western Melbourne,Yarra,Melbourne,Inner Metropolitan
4749,3003,WEST MELBOURNE,VIC,144.949592,-37.810871,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.8114504,144.9253974,20604112701,20604112701,206041127,West Melbourne,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,15.31606293,V1,PHN201,North Western Melbourne,Melbourne,Melbourne,Inner Metropolitan
4750,3004,MELBOURNE,VIC,144.970161,-37.844246,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1,-37.8301583,144.9804594,20604112624,20604112624,206041126,Southbank,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Macnamara,-3492,V1,PHN203,South Eastern Melbourne,Yarra,Macnamara,Inner Metropolitan
4751,3004,ST KILDA ROAD CENTRAL,VIC,144.970161,-37.844246,Melbourne Metro,,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1,-37.8368,144.976,20604112506,20604112506,206041125,South Yarra - West,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Macnamara,-3492,V1,PHN203,South Eastern Melbourne,Yarra,Macnamara,Inner Metropolitan
22851,3004,ST KILDA ROAD MELBOURNE,VIC,144.976,-37.8368,Melbourne Metro,,Updated 25-Jan-2020,,,,,R1,-37.8368,144.976,20604112506,20604112506,206041125,South Yarra - West,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Macnamara,-3492,V1,PHN203,South Eastern Melbourne,Yarra,Macnamara,Inner Metropolitan
4752,3005,WORLD TRADE CENTRE,VIC,144.950858,-37.824608,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.8226739,144.953839,20604111804,20604111804,206041118,Docklands,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,,V1,PHN201,North Western Melbourne,Melbourne,Melbourne,
20754,3006,SOUTH WHARF,VIC,144.9520744,-37.82528675,Melbourne Metro,Delivery Area,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1,-37.825,144.952,20604112622,20604112622,206041126,Southbank,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Macnamara,3.336766005,V1,PHN203,South Eastern Melbourne,Port Phillip,Macnamara,Inner Metropolitan
4753,3006,SOUTHBANK,VIC,144.965926,-37.823258,SOUTH MELBOURNE DC,Delivery Area,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1,-37.829,144.957,20605113205,20605113229,206051132,South Melbourne,20605,Port Phillip,206,Melbourne - Inner,1,1,1,1,Macnamara,3.336766005,V1,PHN203,South Eastern Melbourne,Port Phillip,Macnamara,Inner Metropolitan
4754,3008,DOCKLANDS,VIC,144.948039,-37.814719,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.8170652,144.9419122,20604111813,20604111813,206041118,Docklands,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,12.55512142,V1,PHN203,South Eastern Melbourne,Melbourne,Melbourne,Inner Metropolitan
4755,3010,UNIVERSITY OF MELBOURNE,VIC,144.961351,-37.796152,CARLTON DC,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.7983459,144.960974,20604112407,20604112407,206041124,Parkville,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,44.16433334,V1,PHN201,North Western Melbourne,Melbourne,Melbourne,
4756,3011,FOOTSCRAY,VIC,144.907953,-37.807101,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.7988987,144.892357,21303134807,21303134807,213031348,Footscray,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Gellibrand,2.801710844,V1,PHN201,North Western Melbourne,Moonee Valley,Maribyrnong,Inner Metropolitan
4757,3011,SEDDON,VIC,144.907953,-37.807101,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.8055831,144.891002,21303135016,21303135016,213031350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Gellibrand,2.801710844,V1,PHN201,North Western Melbourne,Moonee Valley,Maribyrnong,Inner Metropolitan
4758,3011,SEDDON WEST,VIC,144.907953,-37.807101,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.8053708,144.8918846,21303135016,21303135016,213031350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Gellibrand,2.801710844,V1,PHN201,North Western Melbourne,Moonee Valley,Maribyrnong,Inner Metropolitan
4759,3012,BROOKLYN,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.8173492,144.8465361,21301133833,21301133833,213011338,Sunshine West,21301,Brimbank,213,Melbourne - West,1,1,1,1,Maribyrnong,21.95538521,V1,PHN201,North Western Melbourne,Wyndham,Maribyrnong,Inner Metropolitan
4760,3012,KINGSVILLE,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.809,144.878,21303135009,21303135009,213031350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Maribyrnong,21.95538521,V1,PHN201,North Western Melbourne,Wyndham,Maribyrnong,Inner Metropolitan
4761,3012,KINGSVILLE WEST,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.809,144.878,21303135009,21303135009,213031350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Maribyrnong,21.95538521,V1,PHN201,North Western Melbourne,Wyndham,Maribyrnong,Inner Metropolitan
4762,3012,MAIDSTONE,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1,-37.783,144.878,21303134728,21303134728,213031347,Braybrook,21303,Maribyrnong,213,Melbourne - West,1,1,1,1,Maribyrnong,21.95538521,V1,PHN201,North Western Melbourne,Wyndham,Maribyrnong,Inner Metropolitan
